ISIN,TypeName,SecurityMarketName,QuantityType,TradingCurrency,MIC,CoursPrice,ClosingPriceDateTime,ClosingPriceType,NominalCumulJour,PreviousClosingPrice,PreviousClosingPriceDateTime,DayMinPrice,DayMaxPrice,MonthMinPrice,MonthMaxPrice,YearMinPrice,YearMaxPrice,Name,Exchange,Type,Market,currency,3Y_Beta,Risk_rating,NAV,date_update,3M_st_dev_perc,1M_st_dev_perc,Sharpe_Ratio,1d_ret_perc,YTD_return,50d_avg,52w_High,52w_Low,Bond_pos,Convertible_pos,Cash,Summary
LU0028051117,Fund,"Universe, The CMI Global Network Fund CMI UK Equity Sub-Fund 2 Distribution",UNT,GBP,EMTF,15.464,2022-12-02 16:33:00,Indicative price,0.0,15.400,2022-12-01 16:27:00,15.464,15.464,15.400,15.464,13.544,16.150,CMI Global Network Fund - CMI U,LSE,MUTUALFUND,gb_market,GBp,1.04,3.0,1527.0999755859375,2022-12-06,1.1458931071105845,0.7616465072953441,11.29430958702381,-0.9148699735693877,0.1078,1441.914,1576.9,14.773,0.0,0.0,0.0092,
LU0028051380,Fund,"Universe, The CMI Global Network Fund UK Equity Index Tracking Sub-Fund 2 Distribution",UNT,GBP,EMTF,21.730,2022-12-02 16:33:00,Indicative price,0.0,21.920,2022-12-01 16:27:00,21.730,21.730,21.730,21.920,19.386,21.985,CMI Global Network Fund - UK Eq,LSE,MUTUALFUND,gb_market,GBp,1.05,3.0,2166.300048828125,2022-12-06,1.043894472218628,0.9166563495772297,6.971089878123345,-0.6330006976725921,0.106400006,2053.93,2198.7,20.471,0.0004,0.0001,0.0064999997,
LU0028049483,Fund,"Universe, The CMI Global Network Fund CMI US Dollar Currency Reserve Sub-Fund 2 Distribution",UNT,USD,EMTF,10.398,2022-12-02 15:33:00,Indicative price,0.0,10.388,2022-12-01 15:28:00,10.398,10.398,10.388,10.398,10.312,10.510,CMI Global Network Fund - CMI U,PNK,MUTUALFUND,us_market,USD,,,10.388999938964844,2022-12-06,0.11897464389103646,0.095231271914493,23.985724319838813,-0.08655342112554587,,,,,,,,
LU0048620586,Fund,Fidelity Funds Flexible Bond Fund A GBP Distribution,UNT,GBP,EMTF,0.293,2022-12-02 07:42:00,Indicative price,0.0,0.291,2022-12-01 07:42:00,0.293,0.293,0.291,0.293,0.276,0.353,Fidelity Funds - Flexible Bond ,LSE,MUTUALFUND,gb_market,GBp,1.46,3.0,29.5,2022-12-05,0.45984585353010055,0.2913479942551449,1.9602020998970422,0.3401373563511889,-0.0128,28.332,33.1,0.326,0.7299,0.0346,-0.0535,"The fund aims to achieve income and capital growth by primarily investing in a broad range of fixed income instruments of issuers globally, including those located, listed or exposed to emerging markets, either denominated in Sterling or other currencies. Emerging market debt may include investments within, although not limited to, Latin America, Asia, Africa, Eastern Europe (including Russia) and the Middle East. Exposure to non-Sterling denominated debt securities will be largely hedged back to Sterling. The fund will consider a wide range of environmental and social characteristics on an ongoing basis. Environmental characteristics include but are not limited to climate change mitigation and adaptation, water and waste management, biodiversity, while social characteristics include but are not limited to product safety, supply chain, health and safety and human rights."
LU0051200391,Fund,"Universe, The CMI Global Network Fund CMI Euro Currency Reserve Sub-Fund 2 Distribution",UNT,EUR,EMTF,23.535,2022-12-02 16:32:00,Indicative price,0.0,23.480,2022-12-01 15:29:00,23.535,23.535,23.480,23.535,23.365,23.995,CMI Global Network Fund - CMI E,FRA,MUTUALFUND,dr_market,EUR,,5.0,23.499000549316406,2022-12-06,0.09348930209086984,0.08913397905317977,18.943863313672225,-0.11051676784465947,-0.0027,23.43366,23.841,23.363,0.5122,0.0,0.41799998,
LU0028048089,Fund,"Universe, The CMI Global Network Fund US Equity Index Tracking Sub-Fund 2 Distribution",UNT,USD,EMTF,120.080,2022-12-02 16:32:00,Indicative price,0.0,120.060,2022-12-01 15:29:00,120.080,120.080,120.060,120.080,105.420,141.400,CMI Global Network Fund - CMI U,PNK,MUTUALFUND,us_market,USD,,,117.76000213623047,2022-12-06,1.7946059175988083,1.711894667318261,7.15148460443601,-1.7749886088547995,,,,,,,,
LU0039296719,Fund,Gamax Funds FCP Asia Pacific A Capitalisation,UNT,EUR,EMTF,19.630,2022-12-02 12:24:00,Indicative price,0.0,19.740,2022-12-01 12:22:00,19.630,19.630,19.630,19.740,18.080,23.380,Gamax Asia Pacific A Acc,FRA,MUTUALFUND,dr_market,EUR,0.89,3.0,19.6299991607666,2022-12-01,1.3307783737513865,1.1350017173936493,4.868957880775368,-0.5572472726798394,0.0838,19.2188,22.87,18.08,0.0,0.0,0.0378,"The objective of the investment policy of sub-fund is to achieve reasonable growth in value in the Fund’s currency, taking into account the investment risk. The Fund is a multi-manager sub-fund. The Fund’s investment objective will be pursued by selecting Portfolio Co-Managers to manage portions of the Fund’s assets. The assets of sub-fund are primarily invested in equities of enterprises in the Asia-Pacific region, including Japan and emerging economies in Asia. Within the framework of this investment policy, the Fund may also make investments in emerging markets, which promise higher growth rates and the advantages of potentially undervalued stock markets."
LU0054300461,Fund,Lemanik Sicav Asian Opportunity  Capitalisation,UNT,EUR,EMTF,19.800,2022-12-02 14:23:00,Indicative price,0.0,19.660,2022-12-01 13:26:00,19.800,19.800,19.660,19.800,18.030,22.300,Lemanik SICAV - Asian Opportuni,FRA,MUTUALFUND,dr_market,EUR,1.19,5.0,19.6883602142334,2022-12-05,1.0370442435257539,1.0281383800016606,3.9785731363510686,0.33901353050476146,0.121300004,18.807789,21.4944,18.02846,0.0,0.0,0.0177,"This sub-fund invests at least 2/3 of its net assets in issuers or companies that have their registered office or that carry on their main activities in an Asiatic Country (Far East and Middle East). 
• The investments in transferable equity securities and rights evidencing ownership of equity represent at least 51% of the net assets;
• A maximum of 49% of the net assets can be invested in variable or fixed income debt securities, Money Market Instruments or assimilated instruments."
LU0093577855,Fund,Candriam Bonds Euro Diversified Classique EUR Capitalisation,UNT,EUR,EMTF,930.200,2022-12-02 15:49:00,Indicative price,0.0,925.200,2022-12-01 15:51:00,930.200,930.200,925.200,930.200,895.200,"1,028.400",Candriam Bonds Euro Diversified,FRA,MUTUALFUND,dr_market,EUR,0.7,2.0,928.8900146484375,2022-12-05,0.309918713034167,0.25884907731786144,6.75880161552252,-0.037662561837148445,-0.0078,910.1684,992.62,895.22,0.82919997,0.0642,0.0517,"The objective of the sub-fund is to use discretionary management to benefit from the performance of the market in bonds denominated mainly in EUR, issued by highly rated eurozone issuers of all types and with a maturity of between 1 and 10 years, and to outperform the benchmark. This sub-fund may be appropriate for investors who wish to achieve this objective over a medium investment holding period and who are aware of, understand and are able to bear the specific risks of the sub-fund as set out below and defined in the section entitled Risk factors in the Prospectus. The assets of this sub-fund are invested principally in debt securities (bonds and other equivalent securities) denominated in EUR, with a maturity of between 1 and 10 years, which may notably be at fixed or variable rates, indexed, subordinated (up to 10% of net assets) or backed by assets. The sub-fund takes into account an analysis of ESG criteria as set out in the Investment policy section of the Prospectus."
LU0028051620,Fund,"Universe, The CMI Global Network Fund CMI Sterling Currency Reserve Sub-Fund 2 Distribution",UNT,GBP,EMTF,4.973,2022-12-02 16:33:00,Indicative price,0.0,4.969,2022-12-01 15:28:00,4.973,4.973,4.969,4.973,4.906,5.036,CMI Global Network Fund - CMI S,LSE,MUTUALFUND,gb_market,GBp,,5.0,497.29998779296875,2022-12-06,0.09990098120496449,0.04468602997701955,37.592434919568234,0.04022966948253881,-0.001,494.662,500.8,4.995,0.6854,0.0027,0.2637,The Sub-Fund aims to provide highly competitive gross rates of return by investing in Sterling denominated short term securities and instruments. The base currency of this Sub-Fund is Sterling.
